"Comment";"FlowWords";"Flow";"cellComment";"DiscNumber";"Area";"Mean";"StdDev";"Mode";"Min";"Max";"X";"Y";"XM";"YM";"Perim.";"BX";"BY";"Width";"Height";"Major";"Minor";"Angle";"Circularity";"Feret";"IntDen";"Median";"Skew";"Kurt";"%Area";"RawIntDen";"Slice";"FeretX";"FeretY";"FeretAngle";"MinFeret";"Aspect.Ratio";"Roundness";"Solidity"
"Flow:1, static:0";;0;1;"StaticA";3137.255;10.24;38.429;0;0;250;75.75;146.581;75.374;149.187;262.718;19.221;120.613;103.074;49.014;98.19;40.681;179.146;0.571;103.828;32125.199;1;4.324;17.329;61.815;556498;1;19.221;151.127;173.089;47.937;2.414;0.414;0.884
": 0 static, 1 30 dynes 2, 2 dynes,3 80 dynes";;0;2;"StaticA";2108.898;20.024;62.291;2;0;255;56.44;37.69;64.163;42.662;193.558;24.027;14.416;65.592;49.254;61.471;43.681;24.769;0.707;72.042;42227.788;3;3.44;9.96;88.602;731503;1;24.027;55.261;24.428;45.005;1.407;0.711;0.922
;;0;3;"StaticA";2090.541;43.939;55.367;11;0;255;78.103;112.101;76.127;112.745;223.687;33.157;84.814;83.372;47.092;79.276;33.576;17.202;0.525;83.539;91856.81;23;2.479;5.5;99.536;1591216;3;33.157;111.003;176.372;36.055;2.361;0.424;0.838
;;0;4;"StaticA";1944.491;38.456;45.115;11;0;255;70.8;86.38;68.288;87.491;219.612;21.384;65.352;87.697;51.177;86.875;28.498;26.623;0.507;100.586;74777.746;25;3.195;10.586;99.771;1295359;3;21.384;116.529;30.424;32.991;3.048;0.328;0.946
;;0;5;"StaticA";2171.764;255;0;255;255;255;95.471;53.149;95.471;53.149;241.698;38.683;32.676;101.392;48.534;99.01;27.928;19.65;0.467;105.346;553799.727;255;"NaN";"NaN";100;9593355;3;38.683;68.956;15.748;34.098;3.545;0.282;0.847
;;0;6;"StaticA";1854.032;255;0;255;255;255;144.963;58.226;144.963;58.226;205.657;105.236;31.715;73.761;52.618;76.716;30.771;28.083;0.551;81.029;472778.125;255;"NaN";"NaN";100;8189835;3;105.236;84.333;39.827;38.348;2.493;0.401;0.836
;;0;7;"StaticA";2898.494;31.181;38.704;11;0;255;146.507;133.727;144.455;134.568;220.207;112.204;97.307;63.911;69.196;72.985;50.565;34.36;0.751;84.245;90376.967;21;3.927;16.936;99.6;1565581;3;127.581;166.504;55.222;51.312;1.443;0.693;0.941
;;0;8;"StaticA";1937.159;34.537;41.028;11;0;255;192.199;131.58;193.861;131.673;179.895;172.03;98.509;46.131;66.794;60.904;40.497;92.073;0.752;69.373;66904.013;22;3.455;12.834;99.785;1158964;3;177.796;98.509;105.673;43.722;1.504;0.665;0.955
;;0;9;"StaticA";2857.796;42.17;48.291;31;0;255;202.341;80.992;201.906;79.319;238.51;174.433;40.845;59.586;85.054;85.332;42.641;115.391;0.631;94.806;120513.226;26;2.818;7.923;99.873;2087625;3;174.913;42.287;118.124;52.465;2.001;0.5;0.846
;;0;10;"StaticA";3016.027;35.76;40.372;14;0;255;68.635;181.698;67.538;182.826;240.159;21.624;156.413;96.587;53.819;84.644;45.368;172.847;0.657;97.959;107854.408;24;3.367;12.458;99.736;1868339;3;21.624;156.413;170.399;47.338;1.866;0.536;0.97
;;0;1;"StaticB";1490.716;58.236;49.363;31;0;255;67.618;71.829;67.253;70.273;177.413;41.934;42.125;52.99;63.092;70.948;26.753;131.644;0.595;79.296;86813.264;42;2.093;4.111;99.993;2389421;3;46.509;42.125;127.283;30.286;2.652;0.377;0.949
;;0;2;"StaticB";2087.329;62.053;47.911;31;0;255;94.433;61.146;93.832;57.282;210.046;73.385;17.917;39.647;86.918;82.615;32.169;107.526;0.595;91.258;129524.768;48;2.207;5.024;99.998;3564999;3;78.15;17.917;108.511;37.985;2.568;0.389;0.928
;;0;3;"StaticB";3678.577;255;0;255;255;255;67.961;122.761;67.961;122.761;253.261;36.216;72.813;59.47;97.593;93.889;49.885;116.204;0.721;106.754;938037.16;255;"NaN";"NaN";100;25818240;3;47.462;72.813;113.911;57.137;1.882;0.531;0.958
;;0;4;"StaticB";2151.783;39.905;33.729;31;0;255;151.321;111.273;152.778;110.035;212.8;132.284;70.526;43.84;81.391;82.917;33.042;79.026;0.597;83.025;85867.025;30;2.788;9.499;99.966;2363377;3;140.289;70.526;101.387;37.37;2.509;0.398;0.895
;;0;5;"StaticB";2297.439;46.053;41.94;31;0;255;112.457;143.451;111.2;146.008;220.63;92.446;105.217;41.744;86.918;74.973;39.017;97.909;0.593;90.702;105804.834;34;3.052;10.66;99.956;2912139;3;94.733;105.217;106.607;41.744;1.922;0.52;0.877
;;0;6;"StaticB";1059.524;83.719;57.665;255;8;255;109.653;22.183;109.975;21.366;128.397;88.443;0;39.838;46.318;41.012;32.894;72.159;0.808;46.647;88701.747;64;1.536;1.596;100;2441399;3;109.22;0;96.806;33.035;1.247;0.802;0.971
;;0;7;"StaticB";1754.344;55.025;50.226;31;0;255;124.365;84.702;123.605;81.14;197.214;108.457;47.653;33.547;78.341;74.673;29.913;90.662;0.567;80.764;96533.038;39;2.4;5.751;99.994;2656945;3;113.032;47.653;104.069;31.759;2.496;0.401;0.891
;;0;8;"StaticB";2058.7;14.859;43.028;0;0;234;172.848;50.791;174.45;39.689;189.258;150.582;21.539;44.603;60.995;63.39;41.351;75.902;0.722;64.955;30591.143;0;2.868;6.772;30.824;841981;1;153.632;22.301;112.426;42.46;1.533;0.652;0.914
;;0;9;"StaticB";705.901;63.533;103.496;0;0;255;60.708;36.4;65.977;34.202;116.654;42.125;22.492;34.119;32.594;34.854;25.787;159.616;0.652;43.013;44847.773;1;1.159;-0.56;68.285;1234376;1;42.125;25.542;136.616;31.308;1.352;0.74;0.886
"Waedenswil";;0;1;"MAX_Static 03.11.2016 C.lif - Series008.tif:3";2442.79392;24.74813;27.78283;10;0;255;102.8381;81.63387;103.85005;82.61622;211.07988;62.94952;57.18315;79.52782;50.45572;75.00758;41.46597;11.72459;0.68897;79.70329;60454.58901;18;4.49116;24.93664;99.56518;1047242;3;62.94952;75.44331;176.19741;44.97111;1.80889;0.55282;0.89072
