Flow;Area;Perim.;Circularity;Major;Minor;Aspect.Ratio;Angle;cellComment;Comment
1;484.333;97.439;0.641;39.141;15.755;2.484;47.828;;"Flow1 :30 dyne/cm^2
Flow2: 2 dyne/cm^2
Flow3: 80 dyne/cm^2"
1;1149.873;195.166;0.379;79.567;18.4;4.324;36.446;;
1;1216.49;186.127;0.441;79.373;19.514;4.068;42.499;;"""change"" in column ""cellComment"": cell  orientation  changed by 90 degrees in confocal images"
1;593.323;164.335;0.276;76.191;9.915;7.684;25.863;;
1;695.731;215.646;0.188;99.564;8.897;11.191;25.413;;Circularity=4*pi*area/Perim.^2
1;666.558;105.589;0.751;42.963;19.754;2.175;8.848;;Aspect.Ratio=Major/Minor
1;839.388;112.667;0.831;42.503;25.145;1.69;12.904;;
1;905.521;155.147;0.473;68.636;16.798;4.086;178.353;;
1;331.474;99.859;0.418;48.253;8.747;5.517;175.919;;
1;605.606;141.261;0.381;59.189;13.027;4.543;177.548;;
1;514.236;117.075;0.471;49.755;13.159;3.781;21.729;;
1;1617.869;280.062;0.259;133.904;15.384;8.704;171.766;;
1;1061.434;268.626;0.185;108.144;12.497;8.654;173.851;;
1;1291.767;213.484;0.356;85.527;19.23;4.447;22.269;;
1;1291.767;213.484;0.356;85.527;19.23;4.447;22.269;;
1;1136.538;216.302;0.305;92.394;15.662;5.899;148.092;;
1;705.718;151.346;0.387;68.781;13.064;5.265;171.567;;
1;1446.88;200.11;0.454;81.78;22.527;3.63;147.7;;
1;1330.733;283.888;0.207;138.858;12.202;11.38;147.139;;
1;716.282;123.03;0.595;43.756;20.843;2.099;168.006;;
1;911.862;121.609;0.775;49.456;23.476;2.107;133.973;;
1;1551.9724;241.14374;0.33538;100.11475;19.73768;5.07227;77.88083;;
1;3210.15961;513.51249;0.15298;181.07781;22.57208;8.0222;79.30965;;
1;3190.884;385.217;0.27;170.713;23.799;7.173;155.644;;
1;2620.248;411.007;0.195;186.172;17.92;10.389;151.725;;
1;1909.046;350.219;0.196;163.996;14.822;11.065;155.455;;
1;1527.20386;188.22644;0.54168;79.4343;24.4793;3.24496;174.09323;;
1;2623.67998;315.96708;0.33025;130.01629;25.6935;5.06028;171.10089;;
1;955.86547;168.6731;0.4222;73.90904;16.46681;4.48837;173.39756;;
1;8129.87833;498.79576;0.41063;216.34021;47.84724;4.52148;12.43978;;
1;1400.22383;245.28497;0.29246;95.74516;18.62047;5.14193;8.67171;;
1;1911.15702;303.03559;0.26153;116.56858;20.87493;5.58414;169.32661;;
1;3607.81107;375.12088;0.32219;169.84538;27.04582;6.27991;172.94656;;
1;3093.29086;430.53218;0.20971;212.53813;18.53079;11.46946;176.14757;;
1;3713.69949;438.79409;0.24238;201.98419;23.4099;8.62815;3.13096;;
1;2978.36318;393.99129;0.24111;186.7562;20.30546;9.19734;179.4325;;
1;3713.69949;438.79409;0.24238;201.98419;23.4099;8.62815;3.13096;;
1;2978.36318;393.99129;0.24111;186.7562;20.30546;9.19734;179.4325;;
1;3159.72222;459.25582;0.18826;205.69447;19.55854;10.51686;173.35951;;
1;3159.72222;459.25582;0.18826;205.69447;19.55854;10.51686;173.35951;;
1;3993.05556;345.64185;0.42001;130.93533;38.82922;3.37208;2.1691;;
1;1675.8494;166.45508;0.76007;58.91815;36.21562;1.62687;176.52518;;
1;4627.09481;475.03091;0.25768;215.50191;27.33804;7.88286;1.43506;;
1;1743.4286;216.3538;0.46804;98.54404;22.52599;4.37468;1.68195;;
1;1952.7663;233.0776;0.45171;86.05557;28.89225;2.9785;9.74665;;
1;3479.39624;339.59316;0.37914;147.6039;30.01347;4.91792;163.07338;;
1;2942.63659;368.0864;0.27293;169.11671;22.15441;7.63355;167.01587;;
1;2132.9775;243.04544;0.45375;100.36979;27.05786;3.70945;173.60687;;
1;2278.60996;272.92421;0.38441;105.48329;27.50404;3.83519;167.93778;;
1;2614.21028;337.97833;0.28759;165.26933;20.13995;8.20604;170.32569;;
1;2396.26377;280.52937;0.38264;111.74188;27.30416;4.09249;170.31189;;
1;2117.62511;257.63197;0.40092;112.07015;24.05854;4.65823;168.33954;;
1;1091.84288;227.16801;0.26587;85.75335;16.21135;5.28971;79.36698;change;
1;1742.62756;255.07294;0.33658;121.96771;18.19156;6.70463;103.05302;change;
1;901.19129;151.49652;0.49343;55.68012;20.60758;2.70192;97.7524;change;
1;1697.47068;221.42592;0.43507;95.60363;22.60674;4.22899;104.34584;change;
1;549.18169;101.08187;0.67543;40.22772;17.38204;2.31433;97.91464;change;
1;957.05347;210.58187;0.27121;80.21185;15.19175;5.27996;104.16903;change;
1;2035.46607;303.86394;0.27702;105.89109;24.47454;4.32658;98.97905;change;
1;2103.29872;303.64484;0.28667;123.04303;21.76477;5.65331;77.83405;change;
1;1097.97478;179.60948;0.4277;63.05919;22.16941;2.84442;100.66887;change;
1;1657.27819;250.57968;0.33168;102.30773;20.62515;4.96034;99.83595;change;
1;795.50132;174.49997;0.32829;66.9146;15.13666;4.4207;94.55222;change;
1;1271.20604;221.34344;0.32606;79.67879;20.31343;3.92247;77.75712;change;
1;1282.49447;196.11287;0.41904;79.78259;20.46716;3.89808;94.23258;change;
1;773.40898;171.40977;0.33079;80.55981;12.22365;6.59049;89.7828;change;
1;919.19622;199.86972;0.28915;84.76729;13.80671;6.13957;101.75467;change;
1;1205.51441;294.01539;0.17524;123.76161;12.40214;9.97905;87.08169;change;
1;1476.74786;321.22954;0.17984;126.29107;14.88826;8.4826;87.26525;change;
1;212.35428;90.77223;0.32387;42.77147;6.32145;6.76608;88.31546;change;
1;1765.79103;226.03628;0.4343;83.33443;26.97894;3.08887;87.88349;change;
1;810.384;202.815;0.248;81.147;12.715;6.382;105.257;change;
1;1020.238;210.399;0.29;62.899;20.652;3.046;93.685;change;
1;665.813;136.715;0.448;52.746;16.072;3.282;96.379;change;
1;2056.797;260.643;0.38;110.074;23.791;4.627;103.025;change;
1;2002.774;249.861;0.403;104.229;24.465;4.26;90.413;change;
1;1016.747;167.713;0.454;57.989;22.324;2.598;97.159;change;
1;1902.732;335.624;0.212;132.049;18.347;7.197;95.114;change;
1;1902.732;335.624;0.212;132.049;18.347;7.197;95.114;change;
1;1141.898;181.852;0.434;59.42;24.468;2.428;116.783;change;
1;1350.026;222.142;0.344;91.752;18.734;4.897;74.338;change;
1;1503.542;229.768;0.358;84.173;22.743;3.701;91.758;change;
1;764.875;156.603;0.392;67.698;14.385;4.706;95.449;change;
1;1078.695;184.491;0.398;69.607;19.731;3.528;74.426;change;
1;957.31;222.854;0.242;85.584;14.242;6.009;59.938;change;
1;973.042;209.294;0.279;79.932;15.5;5.157;87.843;change;
1;831.256;174.795;0.342;72.435;14.612;4.957;77.436;change;
1;722.778;137.852;0.478;50.052;18.386;2.722;93.906;change;
1;1256.417;187.51;0.449;82.218;19.457;4.226;75.493;change;
1;755.341;222.292;0.192;67.03;14.348;4.672;87.295;change;
1;1210.947;190.563;0.419;79.439;19.409;4.093;123.865;change;
1;1168.811;219.478;0.305;93.266;15.956;5.845;109.079;change;
1;1155.629;206.224;0.341;93.562;15.726;5.949;103.473;change;
1;647.021;142.125;0.403;56.329;14.625;3.852;112.149;change;
1;852.677;152.228;0.462;65.407;16.599;3.941;90.305;change;
1;1234.643;179.441;0.482;61.712;25.473;2.423;87.673;change;
1;895.872;207.011;0.263;88.771;12.849;6.909;102.764;change;
1;934.829;225.126;0.232;93.642;12.711;7.367;88.905;change;
